age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,study_discipline,risk_score
18,4,4,2,2,0,4,3,4,1,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,0.2857142857142857,0.6
17,1,1,1,2,0,5,3,3,1,1,3,4,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.4,0.4
15,1,1,1,2,3,4,3,2,2,3,3,10,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,0.18181818181818182,4.0
15,4,2,1,3,0,3,2,2,1,1,5,2,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,True,1.0,0.2
16,3,3,1,2,0,4,3,2,1,2,5,4,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,0.4,0.4
16,4,3,1,2,0,5,4,2,1,2,5,10,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,0.18181818181818182,1.0
16,2,2,1,2,0,4,4,4,1,1,3,0,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,2.0,0.0
17,4,4,2,2,0,4,1,4,1,1,1,6,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,0.2857142857142857,0.6
15,3,2,1,2,0,4,2,2,1,1,1,0,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,2.0,0.0
15,3,4,1,2,0,5,5,1,1,1,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,2.0,0.0
15,4,4,1,2,0,3,3,3,1,2,2,0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False,2.0,0.0
15,2,1,3,3,0,5,2,2,1,1,4,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,0.6,0.4
15,4,4,1,1,0,4,3,3,1,3,5,2,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,0.3333333333333333,0.2
15,4,3,2,2,0,5,4,3,1,2,3,2,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,0.6666666666666666,0.2
15,2,2,1,3,0,4,5,2,1,1,3,0,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,3.0,0.0
16,4,4,1,1,0,4,4,4,1,2,2,4,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.2,0.4
16,4,4,1,3,0,3,2,3,1,2,2,6,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,0.42857142857142855,0.6
16,3,3,3,2,0,5,3,2,1,1,4,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,0.4,0.4
